#K-Path      Energy-Level
# NKPTS & NBANDS: 660  48
# Band-Index    1
   4.92404    -13.286486
   4.92906    -13.286476
   4.93408    -13.286465
   4.93909    -13.286455
   4.94411    -13.286444
   4.94913    -13.286433
   4.95415    -13.286422
   4.95916    -13.286409
   4.96418    -13.286397
   4.96920    -13.286386
   4.97422    -13.286376
   4.97923    -13.286364
   4.98425    -13.286351
   4.98927    -13.286338
   4.99428    -13.286324
   4.99930    -13.286311
   5.00432    -13.286298
   5.00934    -13.286285
   5.01435    -13.286273
   5.01937    -13.286260
   5.02439    -13.286246
   5.02941    -13.286234
   5.03442    -13.286222
   5.03944    -13.286212
   5.04446    -13.286200
   5.04948    -13.286191
   5.05449    -13.286180
   5.05951    -13.286170
   5.06453    -13.286160
   5.06954    -13.286150
   5.07456    -13.286141
   5.07958    -13.286132
   5.08460    -13.286124
   5.08961    -13.286116
   5.09463    -13.286109
   5.09965    -13.286103
   5.10467    -13.286097
   5.10968    -13.286092
   5.11470    -13.286088
   5.11972    -13.286082
   5.12474    -13.286074
   5.12975    -13.286072
   5.13477    -13.286070
   5.13979    -13.286072
   5.14481    -13.286071
 
 
# Band-Index    2
   5.14481    -13.286071
   5.13979    -13.286072
   5.13477    -13.286070
   5.12975    -13.286072
   5.12474    -13.286074
   5.11972    -13.286082
   5.11470    -13.286088
   5.10968    -13.286092
   5.10467    -13.286097
   5.09965    -13.286103
   5.09463    -13.286109
   5.08961    -13.286116
   5.08460    -13.286124
   5.07958    -13.286132
   5.07456    -13.286141
   5.06954    -13.286150
   5.06453    -13.286160
   5.05951    -13.286170
   5.05449    -13.286180
   5.04948    -13.286191
   5.04446    -13.286200
   5.03944    -13.286212
   5.03442    -13.286222
   5.02941    -13.286234
   5.02439    -13.286246
   5.01937    -13.286260
   5.01435    -13.286273
   5.00934    -13.286285
   5.00432    -13.286298
   4.99930    -13.286311
   4.99428    -13.286324
   4.98927    -13.286338
   4.98425    -13.286351
   4.97923    -13.286364
   4.97422    -13.286376
   4.96920    -13.286386
   4.96418    -13.286397
   4.95916    -13.286409
   4.95415    -13.286422
   4.94913    -13.286433
   4.94411    -13.286444
   4.93909    -13.286455
   4.93408    -13.286465
   4.92906    -13.286476
   4.92404    -13.286486
   4.91902    -13.286495
   4.91401    -13.286503
   4.90899    -13.286511
   4.90397    -13.286519
   4.89896    -13.286523
   4.89394    -13.286530
   4.88892    -13.286534
   4.88390    -13.286541
   4.87889    -13.286545
   4.87387    -13.286549
   4.86885    -13.286551
   4.86383    -13.286555
   4.85882    -13.286557
   4.85380    -13.286558
   4.84878    -13.286557
   4.84878    -13.400589
   4.83964    -13.400527
   4.83049    -13.400344
   4.82135    -13.400039
   4.81220    -13.399614
   4.80306    -13.399071
   4.79392    -13.398408
   4.78477    -13.397626
   4.77563    -13.396730
   4.76648    -13.395720
   4.75734    -13.394596
   4.74820    -13.393362
   4.73905    -13.392021
   4.72991    -13.390581
   4.72076    -13.389037
   4.71162    -13.387397
   4.70247    -13.385663
   4.69333    -13.383840
   4.68419    -13.381933
   4.67504    -13.379942
   4.66590    -13.377876
   4.65675    -13.375738
   4.64761    -13.373532
   4.63846    -13.371267
   4.62932    -13.368946
   4.62018    -13.366573
   4.61103    -13.364157
   4.60189    -13.361701
   4.59274    -13.359211
   4.58360    -13.356693
   4.57445    -13.354152
   4.56531    -13.351598
   4.55617    -13.349033
   4.54702    -13.346465
   4.53788    -13.343901
   4.52873    -13.341350
   4.51959    -13.338812
   4.51044    -13.336296
   4.50130    -13.333806
   4.49216    -13.331351
   4.48301    -13.328935
   4.47387    -13.326563
   4.46472    -13.324242
   4.45558    -13.321974
   4.44644    -13.319766
   4.43729    -13.317620
   4.42815    -13.315537
   4.41900    -13.313528
   4.40986    -13.311591
   4.40071    -13.309730
   4.39157    -13.307948
   4.38243    -13.306248
   4.37328    -13.304627
   4.36414    -13.303090
   4.35499    -13.301637
   4.34585    -13.300264
   4.33670    -13.298975
   4.32756    -13.297765
   4.31842    -13.296635
   4.30927    -13.295586
   4.30927    -13.295586
   4.30294    -13.291392
   4.29660    -13.287350
   4.29026    -13.283464
   4.28393    -13.279731
   4.27759    -13.276153
   4.27126    -13.272729
   4.26492    -13.269462
   4.25859    -13.266346
   4.25225    -13.263383
   4.24591    -13.260573
   4.23958    -13.257913
   4.23324    -13.255406
   4.22691    -13.253047
   4.22057    -13.250836
   4.21423    -13.248771
